Beruf,ocr,OhdAB_v,O_1,Normbezeichnungen,OhdAB,OhdAB_01,OhdAB_02,OhdAB_03,OhdAB_04,OhdAB_05,OhdAB_ind,Provenienz,V3,V4,V5
gepr. Musik- u. Zitherlehrer,,B 84412-101,B,Musiklehrer/in,84412,"Gesundheit, Soziales, Lehre und Erziehung",Lehrende und ausbildende Berufe,Lehrtätigkeit an außerschulischen Bildungseinrichtungen,Berufe in der Musikpädagogik,Berufe in der Musikpädagogik - fachlich ausgerichtete Tätigkeiten,101,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
gepr. Pharmazeut,,B 81804-104,B,Pharmazeut/in,81804,"Gesundheit, Soziales, Lehre und Erziehung",Medizinische Gesundheitsberufe,Pharmazie,"Apotheker/innen, Pharmazeuten/Pharmazeutinnen","Apotheker/innen, Pharmazeuten/Pharmazeutinnen - hoch komplexe Tätigkeiten",104,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
gepr. Rechtspraktikant,,B 73182-518,B,"Praktikant/in, jur.",73182,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Recht und Verwaltung,"Rechtsberatung, -sprechung und -ordnung","Berufe in Rechtsberatung, -sprechung und -ordnung sonstige spezifische Tätigkeitsangabe","Berufe in Rechtsberatung, -sprechung und -ordnung (sonstige spezifische Tätigkeitsangabe) - fachlich ausgerichtete Tät",518,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
gepr.Rechtsprakt.,,B 73182-518,B,"Praktikant/in, jur.",73182,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Recht und Verwaltung,"Rechtsberatung, -sprechung und -ordnung","Berufe in Rechtsberatung, -sprechung und -ordnung sonstige spezifische Tätigkeitsangabe","Berufe in Rechtsberatung, -sprechung und -ordnung (sonstige spezifische Tätigkeitsangabe) - fachlich ausgerichtete Tät",518,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gerber,,B 28312-101,B,Gerber/in,28312,"Rohstoffgewinnung, Produktion und Fertigung",Textil- und Lederberufe,"Leder-, Pelzherstellung und -verarbeitung",Berufe in der Lederherstellung,Berufe in der Lederherstellung - fachlich ausgerichtete Tätigkeiten,101,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gerber u. Wirt,,B 28312-101,B,Gerber/in,28312,"Rohstoffgewinnung, Produktion und Fertigung",Textil- und Lederberufe,"Leder-, Pelzherstellung und -verarbeitung",Berufe in der Lederherstellung,Berufe in der Lederherstellung - fachlich ausgerichtete Tätigkeiten,101,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gerber und Spezercrhändler,,B 28312-101,B,Gerber/in,28312,"Rohstoffgewinnung, Produktion und Fertigung",Textil- und Lederberufe,"Leder-, Pelzherstellung und -verarbeitung",Berufe in der Lederherstellung,Berufe in der Lederherstellung - fachlich ausgerichtete Tätigkeiten,101,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gerberslve.,,B 28312-101,B,Gerber/in,28312,"Rohstoffgewinnung, Produktion und Fertigung",Textil- und Lederberufe,"Leder-, Pelzherstellung und -verarbeitung",Berufe in der Lederherstellung,Berufe in der Lederherstellung - fachlich ausgerichtete Tätigkeiten,101,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gerberstve.,,B 28312-101,B,Gerber/in,28312,"Rohstoffgewinnung, Produktion und Fertigung",Textil- und Lederberufe,"Leder-, Pelzherstellung und -verarbeitung",Berufe in der Lederherstellung,Berufe in der Lederherstellung - fachlich ausgerichtete Tätigkeiten,101,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gerberswe.,,B 28312-101,B,Gerber/in,28312,"Rohstoffgewinnung, Produktion und Fertigung",Textil- und Lederberufe,"Leder-, Pelzherstellung und -verarbeitung",Berufe in der Lederherstellung,Berufe in der Lederherstellung - fachlich ausgerichtete Tätigkeiten,101,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gerberswitwe,,B 28312-101,B,Gerber/in,28312,"Rohstoffgewinnung, Produktion und Fertigung",Textil- und Lederberufe,"Leder-, Pelzherstellung und -verarbeitung",Berufe in der Lederherstellung,Berufe in der Lederherstellung - fachlich ausgerichtete Tätigkeiten,101,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gerichlsvollzieherswe.,,B 53233-100,B,Gerichtsvollzieher/in,53233,"Verkehr, Logistik, Schutz und Sicherheit","Schutz-, Sicherheits- und Überwachungsberufe","Polizeivollzugs- und Kriminaldienst, Gerichts- und Justizvollzug",Berufe im Gerichtsvollzug,Berufe im Gerichtsvollzug - komplexe Spezialistentätigkeiten,100,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gerichtsdienerswe.,,B 73201-111,B,Gerichtsdiener/in,73201,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Recht und Verwaltung,Verwaltung,Berufe in der öffentlichen Verwaltung ohne Spezialisierung,Berufe in der öffentlichen Verwaltung (ohne Spezialisierung) - Helfer-/Anlerntätigkeiten,111,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gerichtsschreiberswe.,,B 73203-500,B,"Gerichtsgreffier/in, Gerichtsschreiber/in",73203,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Recht und Verwaltung,Verwaltung,Berufe in der öffentlichen Verwaltung ohne Spezialisierung,Berufe in der öffentlichen Verwaltung (ohne Spezialisierung) - komplexe Spezialistentätigkeiten,500,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
Gerichtssekretärswe.,,B 73203-510,B,Gerichtssekretär/in,73203,"Unternehmensorganisation, Buchhaltung, Recht und Verwaltung",Berufe in Recht und Verwaltung,Verwaltung,Berufe in der öffentlichen Verwaltung ohne Spezialisierung,Berufe in der öffentlichen Verwaltung (ohne Spezialisierung) - komplexe Spezialistentätigkeiten,510,"""Stadtarchiv Nürnberg",F 23 97,Adressbuch Nürnberg 1910,"Teil 1/3."""
